Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,time_utc,time_ist,date_ist,hour_ist,day_of_week,day_of_month,TweetWordCount,TweetCharCount,TweetCategory,user_profile_id,time_utc,time_ist,date_ist,hour_ist,day_of_week,day_of_month,TweetWordCount,TweetCharCount,TweetCategory,user_profile_id
mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a #eget,3509986223088250,2020-06-30 10:53 +0000,477.0,19.0,0.039832285,0.0,0,1.0,0.0,0,1,4,0,0,0,0,0,0,13.0,13.0,2020-06-30 10:53:00+00:00,2020-06-30 16:23:00+00:00,2020-06-30,16,Tuesday,30,29,171,Media,3509986223088250,2020-06-30 10:53:00+00:00,2020-06-30 16:23:00+00:00,2020-06-30,16,Tuesday,30,29,171,Media,3509986223088250
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue #id,5002403674659650,2020-06-30 10:53 +0000,295.0,5.0,0.016949153,0.0,1,2.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,2020-06-30 10:53:00+00:00,2020-06-30 16:23:00+00:00,2020-06-30,16,Tuesday,30,18,120,Other,5002403674659650,2020-06-30 10:53:00+00:00,2020-06-30 16:23:00+00:00,2020-06-30,16,Tuesday,30,18,120,Other,5002403674659650
nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #lacus,8684148510211990,2020-06-30 10:51 +0000,77.0,2.0,0.025974026,0.0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 10:51:00+00:00,2020-06-30 16:21:00+00:00,2020-06-30,16,Tuesday,30,19,126,Other,8684148510211990,2020-06-30 10:51:00+00:00,2020-06-30 16:21:00+00:00,2020-06-30,16,Tuesday,30,19,126,Other,8684148510211990
tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis #cubilia,142743288016432,2020-06-30 10:27 +0000,185.0,7.0,0.037837838,0.0,0,1.0,0.0,0,0,6,0,0,0,0,0,0,0.0,0.0,2020-06-30 10:27:00+00:00,2020-06-30 15:57:00+00:00,2020-06-30,15,Tuesday,30,31,191,Other,142743288016432,2020-06-30 10:27:00+00:00,2020-06-30 15:57:00+00:00,2020-06-30,15,Tuesday,30,31,191,Other,142743288016432
mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis #et,8250842529050670,2020-06-30 10:24 +0000,854.0,16.0,0.018735363,0.0,2,3.0,2.0,0,5,4,0,0,0,0,0,0,0.0,0.0,2020-06-30 10:24:00+00:00,2020-06-30 15:54:00+00:00,2020-06-30,15,Tuesday,30,26,159,Hashtags,8250842529050670,2020-06-30 10:24:00+00:00,2020-06-30 15:54:00+00:00,2020-06-30,15,Tuesday,30,26,159,Hashtags,8250842529050670
ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas #condimentum,5013146680806650,2020-06-30 10:09 +0000,289.0,4.0,0.01384083,0.0,1,2.0,0.0,1,0,0,0,0,0,0,0,0,56.0,0.0,2020-06-30 10:09:00+00:00,2020-06-30 15:39:00+00:00,2020-06-30,15,Tuesday,30,25,165,Media,5013146680806650,2020-06-30 10:09:00+00:00,2020-06-30 15:39:00+00:00,2020-06-30,15,Tuesday,30,25,165,Media,5013146680806650
faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,1585048493828760,2020-06-30 09:56 +0000,1449.0,65.0,0.044858523,0.0,1,19.0,4.0,3,1,3,0,0,0,0,0,0,34.0,34.0,2020-06-30 09:56:00+00:00,2020-06-30 15:26:00+00:00,2020-06-30,15,Tuesday,30,21,144,Media,1585048493828760,2020-06-30 09:56:00+00:00,2020-06-30 15:26:00+00:00,2020-06-30,15,Tuesday,30,21,144,Media,1585048493828760
pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc #ut,3423723845271090,2020-06-30 09:48 +0000,37.0,2.0,0.054054054,0.0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,2020-06-30 09:48:00+00:00,2020-06-30 15:18:00+00:00,2020-06-30,15,Tuesday,30,20,127,Other,3423723845271090,2020-06-30 09:48:00+00:00,2020-06-30 15:18:00+00:00,2020-06-30,15,Tuesday,30,20,127,Other,3423723845271090
penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #pede,9654780253763180,2020-06-30 09:42 +0000,63.0,1.0,0.015873016,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 09:42:00+00:00,2020-06-30 15:12:00+00:00,2020-06-30,15,Tuesday,30,25,164,Other,9654780253763180,2020-06-30 09:42:00+00:00,2020-06-30 15:12:00+00:00,2020-06-30,15,Tuesday,30,25,164,Other,9654780253763180
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,310357079126637,2020-06-30 09:41 +0000,50.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 09:41:00+00:00,2020-06-30 15:11:00+00:00,2020-06-30,15,Tuesday,30,31,201,Other,310357079126637,2020-06-30 09:41:00+00:00,2020-06-30 15:11:00+00:00,2020-06-30,15,Tuesday,30,31,201,Other,310357079126637
proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,297132001634314,2020-06-30 09:39 +0000,104.0,2.0,0.019230769,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 09:39:00+00:00,2020-06-30 15:09:00+00:00,2020-06-30,15,Tuesday,30,20,142,Other,297132001634314,2020-06-30 09:39:00+00:00,2020-06-30 15:09:00+00:00,2020-06-30,15,Tuesday,30,20,142,Other,297132001634314
non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #in,6655019513888310,2020-06-30 09:32 +0000,170.0,4.0,0.023529412,0.0,0,3.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,2020-06-30 09:32:00+00:00,2020-06-30 15:02:00+00:00,2020-06-30,15,Tuesday,30,34,238,Other,6655019513888310,2020-06-30 09:32:00+00:00,2020-06-30 15:02:00+00:00,2020-06-30,15,Tuesday,30,34,238,Other,6655019513888310
lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum #at,1688783569958440,2020-06-30 09:32 +0000,925.0,21.0,0.022702703,0.0,1,7.0,2.0,0,6,5,0,0,0,0,0,0,0.0,0.0,2020-06-30 09:32:00+00:00,2020-06-30 15:02:00+00:00,2020-06-30,15,Tuesday,30,35,235,Hashtags,1688783569958440,2020-06-30 09:32:00+00:00,2020-06-30 15:02:00+00:00,2020-06-30,15,Tuesday,30,35,235,Hashtags,1688783569958440
ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #tortor,7123232127275090,2020-06-30 09:05 +0000,253.0,28.0,0.110671937,0.0,1,3.0,0.0,0,3,2,0,0,0,0,0,0,19.0,19.0,2020-06-30 09:05:00+00:00,2020-06-30 14:35:00+00:00,2020-06-30,14,Tuesday,30,34,234,Media,7123232127275090,2020-06-30 09:05:00+00:00,2020-06-30 14:35:00+00:00,2020-06-30,14,Tuesday,30,34,234,Media,7123232127275090
morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat #sem,8153352925192020,2020-06-30 09:02 +0000,52.0,3.0,0.057692308,0.0,0,3.0,0.0,0,0,0,0,0,0,0,0,0,12.0,0.0,2020-06-30 09:02:00+00:00,2020-06-30 14:32:00+00:00,2020-06-30,14,Tuesday,30,26,172,Media,8153352925192020,2020-06-30 09:02:00+00:00,2020-06-30 14:32:00+00:00,2020-06-30,14,Tuesday,30,26,172,Media,8153352925192020
nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #sit,4001771679746180,2020-06-30 09:00 +0000,65.0,5.0,0.076923077,0.0,2,3.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 09:00:00+00:00,2020-06-30 14:30:00+00:00,2020-06-30,14,Tuesday,30,18,97,Other,4001771679746180,2020-06-30 09:00:00+00:00,2020-06-30 14:30:00+00:00,2020-06-30,14,Tuesday,30,18,97,Other,4001771679746180
ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie,332228473141166,2020-06-30 08:55 +0000,215.0,5.0,0.023255814,0.0,0,4.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,2020-06-30 08:55:00+00:00,2020-06-30 14:25:00+00:00,2020-06-30,14,Tuesday,30,21,144,Other,332228473141166,2020-06-30 08:55:00+00:00,2020-06-30 14:25:00+00:00,2020-06-30,14,Tuesday,30,21,144,Other,332228473141166
mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque #nisl,5531332295209850,2020-06-30 08:46 +0000,172.0,10.0,0.058139535,0.0,1,2.0,5.0,0,0,2,0,0,0,0,0,0,0.0,0.0,2020-06-30 08:46:00+00:00,2020-06-30 14:16:00+00:00,2020-06-30,14,Tuesday,30,17,116,Other,5531332295209850,2020-06-30 08:46:00+00:00,2020-06-30 14:16:00+00:00,2020-06-30,14,Tuesday,30,17,116,Other,5531332295209850
ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non #viverra,1808209517384320,2020-06-30 08:42 +0000,792.0,37.0,0.046717172,1.0,0,16.0,2.0,0,7,8,0,0,0,0,0,0,196.0,3.0,2020-06-30 08:42:00+00:00,2020-06-30 14:12:00+00:00,2020-06-30,14,Tuesday,30,29,197,Media,1808209517384320,2020-06-30 08:42:00+00:00,2020-06-30 14:12:00+00:00,2020-06-30,14,Tuesday,30,29,197,Media,1808209517384320
augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae #turpis,2114235240833290,2020-06-30 08:36 +0000,117.0,3.0,0.025641026,0.0,0,3.0,0.0,0,0,0,0,0,0,0,0,0,20.0,0.0,2020-06-30 08:36:00+00:00,2020-06-30 14:06:00+00:00,2020-06-30,14,Tuesday,30,26,176,Media,2114235240833290,2020-06-30 08:36:00+00:00,2020-06-30 14:06:00+00:00,2020-06-30,14,Tuesday,30,26,176,Media,2114235240833290
arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in #eu,3311262268098050,2020-06-30 08:24 +0000,604.0,21.0,0.034768212,0.0,0,5.0,0.0,0,2,0,0,0,0,0,0,0,14.0,14.0,2020-06-30 08:24:00+00:00,2020-06-30 13:54:00+00:00,2020-06-30,13,Tuesday,30,23,159,Media,3311262268098050,2020-06-30 08:24:00+00:00,2020-06-30 13:54:00+00:00,2020-06-30,13,Tuesday,30,23,159,Media,3311262268098050
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo #amet,763729051734539,2020-06-30 08:13 +0000,593.0,18.0,0.030354132,0.0,0,10.0,4.0,0,4,0,0,0,0,0,0,0,113.0,0.0,2020-06-30 08:13:00+00:00,2020-06-30 13:43:00+00:00,2020-06-30,13,Tuesday,30,18,118,Media,763729051734539,2020-06-30 08:13:00+00:00,2020-06-30 13:43:00+00:00,2020-06-30,13,Tuesday,30,18,118,Media,763729051734539
augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis #erat,2766933668367450,2020-06-30 01:36 +0000,657.0,3.0,0.00456621,0.0,0,1.0,0.0,0,0,2,0,0,0,0,0,0,0.0,0.0,2020-06-30 01:36:00+00:00,2020-06-30 07:06:00+00:00,2020-06-30,7,Tuesday,30,36,222,Other,2766933668367450,2020-06-30 01:36:00+00:00,2020-06-30 07:06:00+00:00,2020-06-30,7,Tuesday,30,36,222,Other,2766933668367450
imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis,1951505405544420,2020-06-30 01:34 +0000,436.0,12.0,0.027522936,0.0,2,9.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,2020-06-30 01:34:00+00:00,2020-06-30 07:04:00+00:00,2020-06-30,7,Tuesday,30,19,119,Other,1951505405544420,2020-06-30 01:34:00+00:00,2020-06-30 07:04:00+00:00,2020-06-30,7,Tuesday,30,19,119,Other,1951505405544420
duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum #sapien,3063248263372960,2020-06-29 23:36 +0000,2685.0,19.0,0.00707635,0.0,3,4.0,0.0,0,0,12,0,0,0,0,0,0,0.0,0.0,2020-06-29 23:36:00+00:00,2020-06-30 05:06:00+00:00,2020-06-30,5,Tuesday,30,33,208,Other,3063248263372960,2020-06-29 23:36:00+00:00,2020-06-30 05:06:00+00:00,2020-06-30,5,Tuesday,30,33,208,Other,3063248263372960
nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel,9844272566942880,2020-06-29 21:23 +0000,98.0,1.0,0.010204082,0.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,2020-06-29 21:23:00+00:00,2020-06-30 02:53:00+00:00,2020-06-30,2,Tuesday,30,19,120,Other,9844272566942880,2020-06-29 21:23:00+00:00,2020-06-30 02:53:00+00:00,2020-06-30,2,Tuesday,30,19,120,Other,9844272566942880
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,681935023745685,2020-06-29 18:55 +0000,542.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-29 18:55:00+00:00,2020-06-30 00:25:00+00:00,2020-06-30,0,Tuesday,30,26,180,Other,681935023745685,2020-06-29 18:55:00+00:00,2020-06-30 00:25:00+00:00,2020-06-30,0,Tuesday,30,26,180,Other,681935023745685
lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #rhoncus,1526132899531480,2020-06-29 18:12 +0000,345.0,14.0,0.04057971,0.0,1,0.0,2.0,9,0,2,0,0,0,0,0,0,0.0,0.0,2020-06-29 18:12:00+00:00,2020-06-29 23:42:00+00:00,2020-06-29,23,Monday,29,31,196,Links,1526132899531480,2020-06-29 18:12:00+00:00,2020-06-29 23:42:00+00:00,2020-06-29,23,Monday,29,31,196,Links,1526132899531480
pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla #ac,5875144880118300,2020-06-29 18:09 +0000,782.0,130.0,0.166240409,0.0,2,1.0,1.0,2,0,10,0,0,0,0,0,0,114.0,114.0,2020-06-29 18:09:00+00:00,2020-06-29 23:39:00+00:00,2020-06-29,23,Monday,29,21,125,Media,5875144880118300,2020-06-29 18:09:00+00:00,2020-06-29 23:39:00+00:00,2020-06-29,23,Monday,29,21,125,Media,5875144880118300
quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5290469557878100,2020-06-29 17:54 +0000,502.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-29 17:54:00+00:00,2020-06-29 23:24:00+00:00,2020-06-29,23,Monday,29,16,103,Other,5290469557878100,2020-06-29 17:54:00+00:00,2020-06-29 23:24:00+00:00,2020-06-29,23,Monday,29,16,103,Other,5290469557878100
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3312261663686840,2020-06-29 17:54 +0000,250.0,1.0,0.004,0.0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-29 17:54:00+00:00,2020-06-29 23:24:00+00:00,2020-06-29,23,Monday,29,24,148,Other,3312261663686840,2020-06-29 17:54:00+00:00,2020-06-29 23:24:00+00:00,2020-06-29,23,Monday,29,24,148,Other,3312261663686840
venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6317238359551280,2020-06-29 17:52 +0000,486.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-29 17:52:00+00:00,2020-06-29 23:22:00+00:00,2020-06-29,23,Monday,29,20,130,Other,6317238359551280,2020-06-29 17:52:00+00:00,2020-06-29 23:22:00+00:00,2020-06-29,23,Monday,29,20,130,Other,6317238359551280
ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id #blandit,2002971247095610,2020-06-29 17:52 +0000,280.0,5.0,0.017857143,0.0,1,1.0,0.0,0,0,3,0,0,0,0,0,0,0.0,0.0,2020-06-29 17:52:00+00:00,2020-06-29 23:22:00+00:00,2020-06-29,23,Monday,29,33,201,Other,2002971247095610,2020-06-29 17:52:00+00:00,2020-06-29 23:22:00+00:00,2020-06-29,23,Monday,29,33,201,Other,2002971247095610
dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est #et,9203276667351800,2020-06-29 15:00 +0000,2739.0,50.0,0.018254838,3.0,1,10.0,3.0,0,0,11,0,0,0,0,0,0,820.0,22.0,2020-06-29 15:00:00+00:00,2020-06-29 20:30:00+00:00,2020-06-29,20,Monday,29,34,217,Media,9203276667351800,2020-06-29 15:00:00+00:00,2020-06-29 20:30:00+00:00,2020-06-29,20,Monday,29,34,217,Media,9203276667351800
potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #sed,2949016450053900,2020-06-29 14:43 +0000,121.0,4.0,0.033057851,0.0,0,4.0,0.0,0,0,0,0,0,0,0,0,0,31.0,0.0,2020-06-29 14:43:00+00:00,2020-06-29 20:13:00+00:00,2020-06-29,20,Monday,29,25,153,Media,2949016450053900,2020-06-29 14:43:00+00:00,2020-06-29 20:13:00+00:00,2020-06-29,20,Monday,29,25,153,Media,2949016450053900
odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas #quis,9547121569966330,2020-06-29 13:46 +0000,234.0,2.0,0.008547009,0.0,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-29 13:46:00+00:00,2020-06-29 19:16:00+00:00,2020-06-29,19,Monday,29,19,129,Other,9547121569966330,2020-06-29 13:46:00+00:00,2020-06-29 19:16:00+00:00,2020-06-29,19,Monday,29,19,129,Other,9547121569966330
donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis,495688839752043,2020-06-29 12:40 +0000,1195.0,41.0,0.034309623,4.0,0,8.0,2.0,9,1,8,0,0,0,0,0,0,9.0,9.0,2020-06-29 12:40:00+00:00,2020-06-29 18:10:00+00:00,2020-06-29,18,Monday,29,31,175,Media,495688839752043,2020-06-29 12:40:00+00:00,2020-06-29 18:10:00+00:00,2020-06-29,18,Monday,29,31,175,Media,495688839752043
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #volutpat,1793553645400030,2020-06-29 11:35 +0000,68.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,13.0,0.0,2020-06-29 11:35:00+00:00,2020-06-29 17:05:00+00:00,2020-06-29,17,Monday,29,16,116,Media,1793553645400030,2020-06-29 11:35:00+00:00,2020-06-29 17:05:00+00:00,2020-06-29,17,Monday,29,16,116,Media,1793553645400030
elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #vivamus,6066736417423050,2020-06-29 01:56 +0000,319.0,10.0,0.031347962,0.0,0,7.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-29 01:56:00+00:00,2020-06-29 07:26:00+00:00,2020-06-29,7,Monday,29,18,123,Other,6066736417423050,2020-06-29 01:56:00+00:00,2020-06-29 07:26:00+00:00,2020-06-29,7,Monday,29,18,123,Other,6066736417423050
